date,start,end,n,filenames
"(2002, 7, 4)",17.666666666666668,17.666666666666668,1,['A2002185174000.L2_LAC_OC.nc']
"(2002, 7, 5)",18.333333333333332,18.416666666666668,2,"['A2002186182500.L2_LAC_OC.nc', 'A2002186182000.L2_LAC_OC.nc']"
"(2002, 7, 6)",17.416666666666668,19.083333333333332,3,"['A2002187173000.L2_LAC_OC.nc', 'A2002187172500.L2_LAC_OC.nc', 'A2002187190500.L2_LAC_OC.nc']"
"(2002, 7, 7)",18.166666666666668,18.166666666666668,1,['A2002188181000.L2_LAC_OC.nc']
"(2002, 7, 8)",17.25,18.916666666666668,2,"['A2002189185500.L2_LAC_OC.nc', 'A2002189171500.L2_LAC_OC.nc']"
"(2002, 7, 9)",18.0,18.0,1,['A2002190180000.L2_LAC_OC.nc']
"(2002, 7, 10)",18.666666666666668,18.666666666666668,1,['A2002191184000.L2_LAC_OC.nc']
"(2002, 7, 11)",17.75,17.75,1,['A2002192174500.L2_LAC_OC.nc']
"(2002, 7, 12)",18.5,18.5,1,['A2002193183000.L2_LAC_OC.nc']
"(2002, 7, 13)",17.583333333333332,17.583333333333332,1,['A2002194173500.L2_LAC_OC.nc']
"(2002, 7, 14)",18.25,18.25,1,['A2002195181500.L2_LAC_OC.nc']
"(2002, 7, 15)",17.333333333333332,19.0,2,"['A2002196190000.L2_LAC_OC.nc', 'A2002196172000.L2_LAC_OC.nc']"
"(2002, 7, 16)",18.083333333333332,18.083333333333332,1,['A2002197180500.L2_LAC_OC.nc']
"(2002, 7, 17)",18.75,18.75,1,['A2002198184500.L2_LAC_OC.nc']
"(2002, 7, 18)",17.833333333333332,17.833333333333332,1,['A2002199175000.L2_LAC_OC.nc']
"(2002, 7, 19)",18.583333333333332,18.583333333333332,1,['A2002200183500.L2_LAC_OC.nc']
"(2002, 7, 20)",17.666666666666668,17.666666666666668,1,['A2002201174000.L2_LAC_OC.nc']
"(2002, 7, 21)",18.333333333333332,18.416666666666668,2,"['A2002202182000.L2_LAC_OC.nc', 'A2002202182500.L2_LAC_OC.nc']"
"(2002, 7, 22)",17.416666666666668,19.083333333333332,3,"['A2002203172500.L2_LAC_OC.nc', 'A2002203190500.L2_LAC_OC.nc', 'A2002203173000.L2_LAC_OC.nc']"
"(2002, 7, 23)",18.166666666666668,18.166666666666668,1,['A2002204181000.L2_LAC_OC.nc']
"(2002, 7, 24)",17.25,18.916666666666668,2,"['A2002205171500.L2_LAC_OC.nc', 'A2002205185500.L2_LAC_OC.nc']"
"(2002, 7, 25)",18.0,18.0,1,['A2002206180000.L2_LAC_OC.nc']
"(2002, 7, 26)",18.666666666666668,18.666666666666668,1,['A2002207184000.L2_LAC_OC.nc']
"(2002, 7, 27)",17.75,17.75,1,['A2002208174500.L2_LAC_OC.nc']
"(2002, 7, 28)",18.5,18.5,1,['A2002209183000.L2_LAC_OC.nc']
"(2002, 7, 29)",17.583333333333332,17.583333333333332,1,['A2002210173500.L2_LAC_OC.nc']
"(2002, 8, 7)",17.416666666666668,19.083333333333332,3,"['A2002219173000.L2_LAC_OC.nc', 'A2002219172500.L2_LAC_OC.nc', 'A2002219190500.L2_LAC_OC.nc']"
"(2002, 8, 8)",18.166666666666668,18.166666666666668,1,['A2002220181000.L2_LAC_OC.nc']
"(2002, 8, 9)",17.25,18.916666666666668,3,"['A2002221185000.L2_LAC_OC.nc', 'A2002221171500.L2_LAC_OC.nc', 'A2002221185500.L2_LAC_OC.nc']"
"(2002, 8, 10)",17.916666666666668,18.0,2,"['A2002222175500.L2_LAC_OC.nc', 'A2002222180000.L2_LAC_OC.nc']"
"(2002, 8, 11)",18.666666666666668,18.666666666666668,1,['A2002223184000.L2_LAC_OC.nc']
"(2002, 8, 12)",17.75,17.75,1,['A2002224174500.L2_LAC_OC.nc']
"(2002, 8, 13)",18.5,18.5,1,['A2002225183000.L2_LAC_OC.nc']
"(2002, 8, 14)",17.583333333333332,17.583333333333332,1,['A2002226173500.L2_LAC_OC.nc']
"(2002, 8, 15)",18.25,18.25,1,['A2002227181500.L2_LAC_OC.nc']
"(2002, 8, 16)",17.333333333333332,19.0,2,"['A2002228190000.L2_LAC_OC.nc', 'A2002228172000.L2_LAC_OC.nc']"
"(2002, 8, 17)",18.083333333333332,18.083333333333332,1,['A2002229180500.L2_LAC_OC.nc']
"(2002, 8, 18)",18.75,18.75,1,['A2002230184500.L2_LAC_OC.nc']
"(2002, 8, 19)",17.833333333333332,17.833333333333332,1,['A2002231175000.L2_LAC_OC.nc']
